Keys,English (USA),日本語,Pig Latin (USA)
Confirmation Title,Are you sure?,本当に？,
Yes Button,Yes,はい,
No Button,No,いいえ,
Hack Warning Title,"Uh, oh.",おや？,
Hack Warning Intro,Someone besides the original developers may have uploaded this game without their permission. How can they tell?,,
Hack Warning Reasoning Not Genuine,Internal tests confirm this game is not genuine.,,
Hack Warning Reasoning Unknown Domain,Unable to confirm this game is hosted by a domain the developers uploaded their game to.,,
Hack Warning Reasoning Domain Mismatch,"The detected url, ""{0},"" does not match any of the domains the developers uploaded their game to.",,
Hack Warning Options,"This could potentially mean that this game's quality is compromised. There are a few options you can take.

First, you can check our website at <link=""website""><u>{0}</u></link> for a legitimate copy of this game, as well as news about this project and other games we've created.

You can also click on the button below to continue this copy of the game. We don't take any responsibilities for what might happen next, though.",,
Hack Warning Continue Button,Continue,,
Lock Mouse Instructions,"Click on the button below to start!
This game will lock your mouse, but you can always recover by holding ESC.",,
Credits Created By,Created by Omiya Games,,
Credits Programming,"Programming:
	Taro Omiya",,
Credits Models,"3D Models:
	Taro Omiya",,
Credits Textures,"Textures:
	“Spring”
	by Taro Omiya

	“Seamless Space/Stars”
	by n4
	<size=24>Licensed under CC0 1.0 Universal (Public Domain)</size>
	<size=24>opengameart.org/content/seamless-space-stars</size>

	All other textures
	by Nobiax
	<size=24>Licensed under CC0 1.0 Universal (Public Domain)</size>
	<size=24>nobiax.deviantart.com</size>",,
Credits Music,"Music:
	Petey Pezzulo & Graham Lerch",,
Credits Sound,"Sound:
	“Jump” & “Footsteps”
	by Unity

	“Lever,” “Buttons,” & “Key”
	by Petey Pezzulo & Graham Lerch

	All other sound effects
	by Taro Omiya",,
Credits Fonts,"Fonts:
	""Kodomo Rounded""
	by Yoshinaga Nakai
	Licensed under IPA Font License
	<size=24>ipafont.ipa.go.jp/ipa_font_license_v1.html</size>","Fonts:
	「こども丸ゴシック」 by 中井 良尚
	Licensed under IPA Font License
	<size=24>ipafont.ipa.go.jp/ipa_font_license_v1.html</size>",
Credits Special Effects,"Special Effects:
	All particles effects
	by Unity

	Motion Blurs
	by Keijiro Takahashi
	<size=24>github.com/keijiro/KinoMotion</size>","Special Effects:
	Particles by Unity
	Motion Blurs by 高橋圭次郎
	<size=24>github.com/keijiro/KinoMotion</size>",
Credits Special Thanks,"Special Thanks:
	Ludum Dare 37
	Tech Valley Game Space
	Tech Valley Center of Gravity",,
Credits Patreon,"Funded by Patreon
For more info, see:
www.patreon.com/OmiyaGames",,
Credits Patrons,"Thanks to These Patrons:
	Adam R. Vierra
	Joshua Jennings
	XanderHD
	Tommy Pedersen
	Jacob Clark
	David Lin",,
Credits Final Thanks,Thanks for playing!,,
